Região	Unidade	Latitude	Longitude	Altitude 	Altitude	Altitude	Fator 
CENTRO-OESTE	MT	-11,0604319	-55,2727927	280,8352	269,713	-11,12	-11,16
CENTRO-OESTE	MT	-13,6589473	-57,8914344	569,0056	575,618	6,61	6,48
CENTRO-OESTE	MT	-11,4179684	-58,7598791	351,3202	355,207	3,89	3,68
CENTRO-OESTE	MT	-11,5810037	-58,3305606	278,1433	281,742	3,6	3,45
CENTRO-OESTE	MT	-11,6283397	-59,0777419	369,4419	376,359	6,92	6,42
CENTRO-OESTE	MT	-13,6271376	-59,7459815	668,7337	681,949	13,22	13,16
CENTRO-OESTE	MT	-14,0771718	-59,436271	642,7692	656,875	14,11	13,98
CENTRO-OESTE	MT	-12,8670893	-60,0636672	588,8902	601,744	12,85	12,88
CENTRO-OESTE	MT	-13,7180915	-60,4856904	197,8338	213,242	15,41	15,26
CENTRO-OESTE	MT	-11,0003828	-51,625307	190,6346	176,344	-14,29	-14,15
CENTRO-OESTE	MT	-10,1483208	-51,0901702	237,7393	222,508	-15,23	-15,27
CENTRO-OESTE	MT	-10,4216295	-54,2472933	413,09	401,148	-11,94	-11,86
CENTRO-OESTE	MT	-15,555263	-56,0698666	235,5948	237,444	1,85	1,81
CENTRO-OESTE	MT	-15,5508491	-56,0558676	251,1426	252,938	1,8	1,76
CENTRO-OESTE	MT	-15,5542953	-56,0688301	223,0501	224,893	1,84	1,8
CENTRO-OESTE	MT	-15,5550094	-56,0706384	226,3627	228,211	1,85	1,81
CENTRO-OESTE	MT	-15,5559585	-56,0702852	230,7928	232,564	1,77	1,81
CENTRO-OESTE	MT	-17,0971805	-54,760817	475,6869	477,444	1,76	1,27
CENTRO-OESTE	MT	-15,7553217	-53,6179385	611,0153	607,358	-3,66	-3,67
CENTRO-OESTE	MT	-15,4825401	-52,2031307	319,5509	314,148	-5,4	-5,45
CENTRO-OESTE	MT	-13,171468	-51,9201147	337,215	327,832	-9,38	-9,39
CENTRO-OESTE	MT	-11,7626086	-51,9614579	361,676	349,278	-12,4	-12,42
CENTRO-OESTE	MT	-10,5446818	-53,5831038	335,6013	323,324	-12,28	-12,34
CENTRO-OESTE	MT	-16,7645773	-52,8376416	441,3362	437,255	-4,08	-4,05
CENTRO-OESTE	MT	-10,5694516	-55,2060641	298,8505	288,614	-10,24	-10,33
CENTRO-OESTE	MT	-9,9395448	-56,7301908	294,1105	288,744	-5,37	-5,31
CENTRO-OESTE	MT	-14,3976704	-56,1102937	486,4398	486,041	-0,4	-0,33
CENTRO-OESTE	MT	-15,078009	-55,9948592	418,1955	418,466	0,27	0,33
CENTRO-OESTE	MT	-16,0484687	-60,0615945	218,0908	235,864	17,77	17,53
CENTRO-OESTE	MT	-15,3391685	-58,8698259	366,9493	379,356	12,41	12,28
CENTRO-OESTE	MT	-11,9887645	-59,4279203	394,783	404,088	9,31	9,27
CENTRO-OESTE	MT	-12,9191203	-58,0465097	475,3051	481,374	6,07	6,01
CENTRO-OESTE	MT	-14,4472217	-58,4211914	716,5101	727,158	10,65	10,59
CENTRO-OESTE	MT	-15,6589788	-57,2704587	205,7559	210,809	5,05	5
CENTRO-OESTE	MT	-16,1901133	-54,784632	294,1846	293,573	-0,61	-0,64
CENTRO-OESTE	MT	-15,6913561	-52,8057016	413,8941	408,789	-5,11	-5,11
CENTRO-OESTE	MT	-14,8548304	-57,1899056	201,0435	204,489	3,45	3,5
CENTRO-OESTE	MT	-16,1774733	-56,7402028	188,6198	194,126	5,51	5,44
CENTRO-OESTE	MT	-16,4187588	-54,0770416	472,4476	470,168	-2,28	-2,32
CENTRO-OESTE	MT	-15,3179954	-57,8735109	177,2715	184,867	7,6	7,6
CENTRO-OESTE	MT	-14,568443	-57,7381279	280,0062	286,422	6,42	6,45
CENTRO-OESTE	MT	-14,6628918	-57,3336678	506,1889	510,53	4,34	4,3
CENTRO-OESTE	MT	-14,7414398	-57,0525326	212,4224	215,355	2,93	2,94
CENTRO-OESTE	MT	-14,5069836	-56,6542425	205,7727	207,385	1,61	1,6
CENTRO-OESTE	MT	-15,4986519	-60,082253	205,4349	222,06	16,63	16,65
CENTRO-OESTE	MT	-15,9712881	-58,7722424	204,6274	217,557	12,93	12,85
CENTRO-OESTE	MT	-15,8176434	-58,0874894	295,7662	305,495	9,73	9,73
NORDESTE	AL	-9,5568293	-35,7793247	87,9027	78,985	-8,92	-8,79
NORDESTE	AL	-9,0490492	-35,3914648	8,3835	0,852	-7,53	-7,39
NORDESTE	AL	-9,3867758	-37,9913943	233,3932	222,872	-10,52	-10,55
NORDESTE	AL	-9,1375759	-37,3153682	396,4007	387,866	-8,53	-8,61
NORDESTE	AL	-8,9428768	-35,1740128	5,7554	-1,124	-6,88	-6,89
NORDESTE	AL	-9,2319023	-35,3495273	4,2506	-4,021	-8,27	-8,32
NORDESTE	AL	-9,279924	-35,4536864	4,3851	-4,08	-8,47	-8,44
NORDESTE	AL	-9,6761413	-35,7188009	3,4811	-5,777	-9,26	-9,24
NORDESTE	AL	-9,5197849	-36,9875975	190,6812	181,969	-8,71	-8,7
NORDESTE	AL	-9,7606541	-36,506753	194,5106	186,652	-7,86	-7,95
NORDESTE	AL	-9,3112041	-35,9455873	87,2354	79,811	-7,42	-7,47
NORDESTE	BA	-12,0786699	-44,9996363	739,3538	723,726	-15,63	-15,61
NORDESTE	BA	-13,2600054	-43,4212382	524,8469	509,878	-14,97	-14,93
NORDESTE	BA	-14,0083512	-39,8695509	158,529	148,408	-10,12	-10,15
NORDESTE	BA	-14,2172134	-39,3160122	122,8379	113,844	-8,99	-8,96
NORDESTE	BA	-13,6872217	-40,4105834	634,2047	624,048	-10,16	-10,2
NORDESTE	BA	-13,5900817	-46,1175974	945,6532	931,95	-13,7	-13,75
NORDESTE	BA	-13,7255249	-45,9435688	879,2132	866,038	-13,18	-13,15
NORDESTE	BA	-14,0501097	-44,4878416	652,1337	639,77	-12,36	-12,4
NORDESTE	BA	-14,1347909	-44,8231733	632,5251	619,953	-12,57	-12,51
NORDESTE	BA	-14,2549072	-45,2874899	799,5813	787,285	-12,3	-12,35
NORDESTE	BA	-14,7554696	-45,3951451	836,031	823,702	-12,33	-12,32
NORDESTE	BA	-12,9687402	-38,5202074	3,5049	-7,658	-11,16	-11,1
NORDESTE	BA	-13,2555584	-43,4217352	434,2928	419,401	-14,89	-14,94
NORDESTE	BA	-13,2983001	-43,7403946	462,4826	448,28	-14,2	-14,19
NORDESTE	BA	-12,6822414	-38,2899356	64,6428	53,216	-11,43	-11,4
NORDESTE	BA	-12,5423854	-38,4613509	150,332	138,372	-11,96	-11,85
NORDESTE	BA	-13,0082727	-38,5116853	47,2697	36,18	-11,09	-11,08
NORDESTE	BA	-14,2035484	-42,757668	542,8862	529,641	-13,25	-13,19
NORDESTE	BA	-14,2158143	-42,8431819	508,3186	495,124	-13,19	-13,21
NORDESTE	BA	-13,341405	-44,6372649	569,9383	557,382	-12,56	-12,56
NORDESTE	BA	-13,3215095	-44,6361369	647,521	634,88	-12,64	-12,6
NORDESTE	BA	-12,1649782	-45,0086262	444,5594	429,295	-15,26	-15,29
NORDESTE	BA	-9,6123565	-42,0925021	415,6198	399,409	-16,21	-16,15
NORDESTE	BA	-9,5768209	-42,131325	416,2806	400,105	-16,18	-16,12
NORDESTE	BA	-9,4701429	-40,54451	374,4574	361,041	-13,42	-13,36
NORDESTE	BA	-9,4896271	-40,808191	382,0966	368,202	-13,89	-13,87
NORDESTE	BA	-9,4101911	-40,8163392	400,877	387,001	-13,88	-13,88
NORDESTE	BA	-9,4294855	-40,8266698	399,2365	385,338	-13,9	-13,92
NORDESTE	BA	-12,8919745	-38,3159761	16,5681	5,718	-10,85	-10,91
NORDESTE	BA	-12,8984334	-38,2972217	2,6445	-8,216	-10,86	-10,9
NORDESTE	BA	-12,9059635	-38,3032207	3,0919	-7,778	-10,87	-10,91
NORDESTE	BA	-12,9603128	-38,3966098	6,0654	-4,805	-10,87	-10,96
NORDESTE	BA	-12,9686387	-38,4106762	15,4135	4,494	-10,92	-10,95
NORDESTE	BA	-12,9910896	-38,4399821	4,5388	-6,46	-11	-10,98
NORDESTE	BA	-12,9982313	-38,4461945	6,0263	-5,041	-11,07	-10,99
NORDESTE	BA	-13,0112491	-38,5079813	3,554	-7,55	-11,1	-11,08
NORDESTE	BA	-13,0108293	-38,5239023	24,9146	13,859	-11,06	-11,1
NORDESTE	BA	-12,9740034	-38,5145694	3,1329	-8,016	-11,15	-11,08
NORDESTE	BA	-12,9206071	-38,3535872	29,864	18,857	-11,01	-10,95
NORDESTE	BA	-12,9230627	-38,3601638	19,4164	8,737	-10,68	-10,95
NORDESTE	BA	-13,0086699	-38,5123591	46,8482	35,756	-11,09	-11,08
NORDESTE	BA	-12,9496288	-38,4321681	61,8803	51,031	-10,85	-10,93
NORDESTE	BA	-12,961199	-38,4336019	29,5206	17,854	-11,67	-10,93
NORDESTE	BA	-12,9788417	-38,465348	15,4541	5,146	-10,31	-10,97
NORDESTE	BA	-12,9775918	-38,502569	43,9613	32,913	-11,05	-11,04
NORDESTE	BA	-12,9317533	-38,3910944	20,5039	10,186	-10,32	-10,95
NORDESTE	BA	-12,9549196	-38,4286551	38,7589	27,404	-11,35	-10,93
NORDESTE	BA	-11,0318338	-38,8109345	164,9973	150,712	-14,29	-14,28
NORDESTE	BA	-10,5608273	-38,9900793	395,939	382,893	-13,05	-13,01
NORDESTE	BA	-9,850726	-39,1432009	412,1158	400,251	-11,86	-11,91
