REGIAO;UF;VALOR
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;RJ;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
