http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Região;Unidade da Federação (UF);Latitude;Longitude
CENTRO-OESTE;MS;-18,8388303;-53,1363225
CENTRO-OESTE;MS;-20,7296133;-56,6278922
CENTRO-OESTE;MS;-21,6929126;-54,7075688
CENTRO-OESTE;MS;-21,6308651;-55,5696690
CENTRO-OESTE;MS;-22,4706279;-55,4009530
CENTRO-OESTE;MS;-23,4575066;-55,1586890
CENTRO-OESTE;MS;-23,5345678;-54,3953520
CENTRO-OESTE;MS;-22,6395328;-54,0414466
CENTRO-OESTE;MS;-22,3692595;-54,2089737
CENTRO-OESTE;MS;-21,6232648;-53,6517208
CENTRO-OESTE;MS;-21,8398860;-52,6732030
CENTRO-OESTE;MS;-18,1792446;-54,6376302
CENTRO-OESTE;MS;-19,0002814;-57,6296147
CENTRO-OESTE;MS;-22,4558418;-54,8404470
CENTRO-OESTE;MS;-23,2214146;-55,2073434
CENTRO-OESTE;MS;-23,6759591;-55,3945530
CENTRO-OESTE;MS;-23,9795908;-55,0403344
CENTRO-OESTE;MS;-23,7575801;-54,3060214
CENTRO-OESTE;MS;-20,4447090;-52,8760012
CENTRO-OESTE;MS;-20,4642502;-54,6163554
CENTRO-OESTE;MS;-20,8057486;-54,5186635
CENTRO-OESTE;MS;-21,9028542;-56,3510673
CENTRO-OESTE;MS;-22,1083031;-56,2235848
CENTRO-OESTE;MS;-21,9732704;-56,8069818
CENTRO-OESTE;MS;-21,6648489;-56,7321952
CENTRO-OESTE;MS;-20,4355585;-56,0312679
CENTRO-OESTE;MS;-19,4072178;-57,0483856
CENTRO-OESTE;MS;-19,5479063;-57,2354740
CENTRO-OESTE;MS;-19,1390702;-54,9223524
CENTRO-OESTE;MS;-19,1717264;-51,6174882
CENTRO-OESTE;MS;-19,5084414;-51,2797598
CENTRO-OESTE;MS;-19,9209130;-51,1312176
CENTRO-OESTE;MS;-20,4491986;-51,4999785
CENTRO-OESTE;MS;-20,6619624;-51,7949656
CENTRO-OESTE;MS;-21,3323731;-52,0946415
